term,term_label,parent_term,parent_label
ENVO:03520006,supercooled water droplet,ENVO:01000833,water droplet
ENVO:03520007,snow crystal,ENVO:01000846,water ice crystal
ENVO:03600006,food waste,ENVO:00002264,waste material
ENVO:03600007,formation fluid,ENVO:02000140,fluid environmental material
ENVO:03600008,intensive care unit,ENVO:01000420,building part
ENVO:03600009,interstitial water,ENVO:00002006,liquid water
ENVO:03600011,mineral horizon,ENVO:01001275,solid layer
ENVO:03600014,pipeline network,ENVO:00000070,human construction
ENVO:03600015,polluted river,ENVO:00000022,river
ENVO:03600017,slurry,ENVO:00010483,environmental material
ENVO:03600018,organic horizon,ENVO:03600030,soil horizon
ENVO:03600020,tailings dam,ENVO:03600031,earth-filled dam
ENVO:03600021,tailings pond,ENVO:00000070,human construction
ENVO:03600030,soil horizon,ENVO:01000281,layer
ENVO:06105026,granule of plastic foam,ENVO:06105006,piece of plastic foam
ENVO:06105027,fragmentation process,ENVO:02500000,environmental system process
ENVO:06105028,fragmentation due to weathering,ENVO:06105027,fragmentation process
ENVO:06105109,litter role,BFO_0000023,role
ENVO:06105123,synthetic polymer,CHEBI_60027,polymer
ENVO:01000907,feasting pit site,ENVO:00000564,archeological site
ENVO:01000943,vegetated hill,ENVO:00000083,hill
ENVO:01001126,astrogeological ice,ENVO:01001154,volatile astrogeological material
ENVO:01001190,brown sea ice,ENVO:00002200,sea ice
ENVO:01001187,holothurian digestive tract,UBERON_0001555,digestive tract
ENVO:01001451,usage of an environment for business,ENVO:01001436,planned environmental usage process
ENVO:03510058,pharmaceutical ink,ENVO:00003074,manufactured product
ENVO:03510064,emissions from petroleum combustion,ENVO:00010483,environmental material
ENVO:01000033,oceanic pelagic zone biome,ENVO:01000023,marine pelagic biome
ENVO:01000750,Mohorovicic discontinuity,ENVO:01000639,planetary structural layer
ENVO:01000912,cloud condensation nucleus,ENVO:01001686,mass of environmental material
ENVO:01000905,shrimp pond,ENVO:01000617,lentic water body
ENVO:01000906,aquaculture process,ENVO:01001436,planned environmental usage process
ENVO:01000908,geothermally heated river,ENVO:00000022,river
ENVO:01000910,soil biocrust,ENVO:01000909,biocrust
ENVO:01000911,automated teller machine,ENVO:00003074,manufactured product
ENVO:01000913,nucleation of cloud condensation,ENVO:02500003,atmospheric process
ENVO:09200012,temperature of soil,ENVO:09200000,temperature of environmental material
ENVO:09200013,wetness of soil,PATO_0001822,wetness
ENVO:03000033,marine sediment,ENVO:00002007,sediment
ENVO:01001087,formation of a liquid aerosol in an atmosphere,ENVO:01001085,atmospheric aerosol formation
ENVO:01001359,atmospheric aerosolised particle formation event,ENVO:01001372,aerosolised particle formation event
ENVO:01001405,laboratory environment,ENVO:01000313,anthropogenic environment
ENVO:01001464,UNEP-WCMC class 4 mountain,ENVO:01001460,mid-elevation mountain
ENVO:06105101,plastic,ENVO:00010483,environmental material
ENVO:06105011,water column,ENVO:01001477,liquid astronomical body part
ENVO:06105021,adsorption,ENVO:03000009,material accumulation process
ENVO:06105019,quality of a foam,PATO_0001018,physical quality
ENVO:01001875,debris flow following rainfall,ENVO:01000698,debris flow
ENVO:03600000,cleanroom,ENVO:01000420,building part
ENVO:03600013,bituminous sand,ENVO:00010483,environmental material
ENVO:03520004,cloud base,ENVO:03520003,cloud part
ENVO:03510066,chemical colorant,BFO_0000034,function
ENVO:03600004,drinking water treatment plant,ENVO:00003861,industrial building
ENVO:03600002,cooling water,ENVO:00002006,liquid water
ENVO:03600003,drinking water pipeline network,ENVO:03600014,pipeline network
ENVO:02000125,transportation,ENVO:03000010,material transport process
ENVO:01000923,petting zoo,ENVO:00010625,zoological garden
ENVO:01001000,environmental system determined by an organism,ENVO:01001110,ecosystem
ENVO:01001129,super-Jupiter,ENVO:01000799,astronomical body
ENVO:01001135,desert planet,ENVO:01000958,terrestrial planet
ENVO:01001420,sea bed mining,ENVO:01001439,marine mining
ENVO:06105013,marine biota,ENVO:06105012,biota
ENVO:06105005,thermoset polymer,CHEBI_60027,polymer
ENVO:06105020,ingestion,GO_0042755,eating behavior
ENVO:00000002,anthropogenic geographic feature,ENVO:00000000,geographic feature
ENVO:00000005,first-order administrative region,ENVO:00000004,administrative region
ENVO:00000006,second-order administrative region,ENVO:00000004,administrative region
ENVO:00000007,third-order administrative region,ENVO:00000004,administrative region
ENVO:00000009,national geopolitical entity,ENVO:00000123,political entity
ENVO:00000020,lake,ENVO:01000617,lentic water body
ENVO:00000022,river,ENVO:00000023,stream
ENVO:00000023,stream,ENVO:00000029,watercourse
ENVO:00000025,reservoir,ENVO:00000377,artificial lake
ENVO:00000026,well,ENVO:00000002,anthropogenic geographic feature
ENVO:00000027,spring,ENVO:01001784,compound astronomical body part
ENVO:00000029,watercourse,ENVO:01000618,lotic water body
ENVO:00000063,water body,ENVO:01000685,water mass
ENVO:00000078,farm,ENVO:00000077,agricultural ecosystem
ENVO:00000106,grassland area,ENVO:01001305,vegetated area
ENVO:00000111,forested area,ENVO:00000109,woodland area
ENVO:00000114,agricultural field,ENVO:01000352,field
ENVO:00000123,political entity,ENVO:00000004,administrative region
ENVO:00000131,glacial feature,BFO_0000040,material entity
ENVO:00000141,bank,ENVO:00002000,slope
ENVO:00000142,stream bank,ENVO:00000141,bank
ENVO:00000143,river bank,ENVO:00000142,stream bank
ENVO:00000176,elevation,ENVO:00000191,solid astronomical body part
ENVO:00000191,solid astronomical body part,ENVO:01000813,astronomical body part
ENVO:00000266,pasture,ENVO:01001206,grassland ecosystem
ENVO:00000309,depression,ENVO:00000191,solid astronomical body part
ENVO:00000377,artificial lake,ENVO:00000020,lake
ENVO:00000395,channel of a watercourse,ENVO:00000309,depression
ENVO:00000450,irrigation reservoir,ENVO:00000025,reservoir
ENVO:00000501,submerged bed,ENVO:01001311,solid surface layer
ENVO:00001995,rock,ENVO:01000814,solid environmental material
ENVO:00002000,slope,ENVO:00000191,solid astronomical body part
ENVO:00002005,air,ENVO:01000797,gaseous environmental material
ENVO:00002006,liquid water,ENVO:01000815,liquid environmental material
ENVO:00002042,surface water,ENVO:00002006,liquid water
ENVO:00002170,compost,ENVO:0010003,agricultural environmental material
ENVO:00002229,arenosol,ENVO:00001998,soil
ENVO:00002232,andosol,ENVO:00001998,soil
ENVO:00002234,acrisol,ENVO:01001397,ultisol
ENVO:00002235,cambisol,ENVO:00001998,soil
ENVO:00002237,chernozem,ENVO:00001998,soil
ENVO:00002240,kastanozem,ENVO:00001998,soil
ENVO:00002243,histosol,ENVO:00001998,soil
ENVO:00002244,gleysol,ENVO:00001998,soil
ENVO:00002245,gypsisol,ENVO:00001998,soil
ENVO:00002246,ferralsol,ENVO:00001998,soil
ENVO:00002247,nitisol,ENVO:00001998,soil
ENVO:00002248,luvisol,ENVO:00001998,soil
ENVO:00002249,phaeozem,ENVO:00001998,soil
ENVO:00002252,solonchak,ENVO:00001998,soil
ENVO:00002254,vertisol,ENVO:00001998,soil
ENVO:00002255,solonetz,ENVO:00001998,soil
ENVO:00002256,regosol,ENVO:00001998,soil
ENVO:00002261,forest soil,ENVO:00001998,soil
ENVO:00002264,waste material,ENVO:00010483,environmental material
ENVO:00002273,fluvisol,ENVO:00001998,soil
ENVO:00002872,bagasse,ENVO:00002264,waste material
ENVO:00002982,clay,ENVO:00010483,environmental material
ENVO:00003869,straw,ENVO:0010003,agricultural environmental material
ENVO:00005747,compost soil,ENVO:00001998,soil
ENVO:00005749,farm soil,ENVO:00001998,soil
ENVO:00005750,grassland soil,ENVO:00001998,soil
ENVO:00005765,frozen compost soil,ENVO:00005747,compost soil
ENVO:00010504,surface layer,ENVO:01001684,interface layer
ENVO:0010001,anthropogenic environmental material,ENVO:00010483,environmental material
ENVO:01000016,silt,ENVO:00010483,environmental material
ENVO:01000017,sand,ENVO:00010483,environmental material
ENVO:01000155,organic material,ENVO:00010483,environmental material
ENVO:01000254,environmental system,RO_0002577,system
ENVO:01000256,mineral material,ENVO:01000814,solid environmental material
ENVO:01000266,water vapour,ENVO:01000797,gaseous environmental material
ENVO:01000267,atmosphere,ENVO:01001678,fluid layer
ENVO:01000268,atmospheric water vapour,ENVO:01000266,water vapour
ENVO:01000277,water ice,ENVO:01001125,ice
ENVO:01000281,layer,BFO_0000040,material entity
ENVO:01000293,ice mass,ENVO:00000131,glacial feature
ENVO:01000317,aquatic environment,ENVO:01000998,environmental system determined by a material
ENVO:01000319,rocky slope,ENVO:00002000,slope
ENVO:01000325,aquatic layer,ENVO:01001273,liquid layer
ENVO:01000352,field,ENVO:01000813,astronomical body part
ENVO:01000371,agricultural waste material,ENVO:00002264,waste material
ENVO:01000406,snow,ENVO:00000131,glacial feature
ENVO:01000408,environmental zone,BFO_0000029,site
ENVO:01000617,lentic water body,ENVO:00000063,water body
ENVO:01000618,lotic water body,ENVO:00000063,water body
ENVO:01000624,hydrological condensation process,ENVO:02500031,hydrological process
ENVO:01000703,hydrological precipitation process,ENVO:01000875,precipitation process
ENVO:01000705,soil degradation,ENVO:02500005,land degradation
ENVO:01000724,condensation process,ENVO:01001510,material congelation process
ENVO:01000797,gaseous environmental material,ENVO:02000140,fluid environmental material
ENVO:01000799,astronomical body,ENVO:01000804,astronomical object
ENVO:01000813,astronomical body part,BFO_0000024,fiat object part
ENVO:01000814,solid environmental material,ENVO:00010483,environmental material
ENVO:01000815,liquid environmental material,ENVO:02000140,fluid environmental material
ENVO:01000818,cryosphere,ENVO:03000110,cryoform
ENVO:01000819,hydrosphere,ENVO:01001477,liquid astronomical body part
ENVO:01001305,vegetated area,ENVO:01001199,terrestrial environmental zone
ENVO:02500000,environmental system process,BFO_0000015,process
ENVO:02500031,hydrological process,ENVO:02500000,environmental system process
ENVO:09200000,temperature of environmental material,PATO_0000146,temperature
ENVO:09200001,temperature of air,ENVO:09200000,temperature of environmental material
ENVO:01000909,biocrust,ENVO:01001311,solid surface layer
ENVO:01001492,satellite imaging,OBI_0000011,planned process
ENVO:01001465,UNEP-WCMC class 5 mountain,ENVO:01001460,mid-elevation mountain
ENVO:01001480,domestic building,ENVO:00000073,building
ENVO:06105118,lost fishing gear,ENVO:06105117,abandoned fishing gear
ENVO:06105115,fishing gear,ENVO:00003074,manufactured product
ENVO:06105114,ghost fishing,ENVO:02500027,anthropogenic environmental process
ENVO:01001406,laboratory facility,ENVO:00000469,research facility
ENVO:06105009,plastic line,ENVO:01000776,piece of plastic
ENVO:06105117,abandoned fishing gear,ENVO:06105115,fishing gear
ENVO:06105113,fishing,ENVO:01001436,planned environmental usage process
ENVO:03000133,agricultural potting mixture,ENVO:0010003,agricultural environmental material
ENVO:03520005,cloud top,ENVO:03520003,cloud part
ENVO:03510065,colorant fluid,ENVO:01000815,liquid environmental material
ENVO:03600001,chemically contaminated sediment,ENVO:00002114,chemically enriched sediment
ENVO:03600032,embankment dam,ENVO:00000074,dam
ENVO:03600005,electrical switch,ENVO:00003074,manufactured product
ENVO:03600012,oil pipeline network,ENVO:03600014,pipeline network
ENVO:01001466,UNEP-WCMC class 6 mountain,ENVO:01001460,mid-elevation mountain
ENVO:01001535,floeberg,ENVO:01001536,sea ice mass
ENVO:06105105,nanoplastic particle,ENVO:01000776,piece of plastic
ENVO:00000001,bedding-plane cave,ENVO:00000067,cave
ENVO:00000003,mine tailing,ENVO:0010001,anthropogenic environmental material
ENVO:00000008,fourth-order administrative region,ENVO:00000004,administrative region
ENVO:00000010,transport feature,ENVO:00000070,human construction
ENVO:00000011,garden,ENVO:00000002,anthropogenic geographic feature
ENVO:00000012,hydrographic feature,ENVO:00000000,geographic feature
ENVO:00000013,cave system,ENVO:00000191,solid astronomical body part
ENVO:00000014,canal,ENVO:00000029,watercourse
ENVO:00000015,ocean,ENVO:01001319,saline water body
ENVO:00000016,sea,ENVO:01001319,saline water body
ENVO:00000017,saline hydrographic feature,ENVO:00000012,hydrographic feature
ENVO:00000019,saline lake,ENVO:01001319,saline water body
ENVO:00000021,freshwater lake,ENVO:01001320,fresh water body
ENVO:00000028,sand pit quarry,ENVO:00000284,quarry
ENVO:00000030,dead cave,ENVO:00000067,cave
ENVO:00000031,wadi,ENVO:01000980,channel of an intermittent stream
ENVO:00000032,bay,ENVO:00000137,coastal inlet
ENVO:00000033,pond,ENVO:01000617,lentic water body
ENVO:00000034,rapids,ENVO:01001308,hydroform
ENVO:00000035,marsh,ENVO:01001209,wetland ecosystem
ENVO:00000036,irrigation canal,ENVO:00000014,canal
ENVO:00000037,ditch,ENVO:00000121,artificial channel
ENVO:00000038,lagoon,ENVO:01000325,aquatic layer
ENVO:00000039,fjord,ENVO:00000137,coastal inlet
ENVO:00000040,waterfall,ENVO:01001308,hydroform
ENVO:00000041,tidal creek,ENVO:00000412,tidal watercourse
ENVO:00000042,drainage canal,ENVO:00000014,canal
ENVO:00000043,wetland area,ENVO:01001305,vegetated area
ENVO:00000044,peatland,ENVO:01001209,wetland ecosystem
ENVO:00000045,estuary,ENVO:00000063,water body
ENVO:00000046,hedge,ENVO:00000002,anthropogenic geographic feature
ENVO:00000048,navigation canal,ENVO:00000014,canal
ENVO:00000050,geyser,ENVO:00000051,hot spring
ENVO:00000051,hot spring,ENVO:00000027,spring
ENVO:00000052,volcanic crater lake,ENVO:01001062,crater lake
ENVO:00000053,freshwater marsh,ENVO:00000035,marsh
ENVO:00000054,saline marsh,ENVO:00000035,marsh
ENVO:00000055,saline evaporation pond,ENVO:00000033,pond
ENVO:00000056,fishpond,ENVO:01000617,lentic water body
ENVO:00000057,mangrove swamp,ENVO:00000230,coastal wetland ecosystem
ENVO:00000058,underground lake,ENVO:00000061,underground water body
ENVO:00000059,underground river,ENVO:00000060,underground stream
ENVO:00000060,underground stream,ENVO:00000061,underground water body
ENVO:00000061,underground water body,ENVO:00000063,water body
ENVO:00000062,populated place,ENVO:01000408,environmental zone
ENVO:00000064,road,ENVO:01001272,constructed pavement
ENVO:00000065,railway,ENVO:00000010,transport feature
ENVO:00000066,man-made tunnel,ENVO:00000068,tunnel
ENVO:00000067,cave,ENVO:00000191,solid astronomical body part
ENVO:00000068,tunnel,ENVO:03000117,channel
ENVO:00000069,distributary,ENVO:00000023,stream
ENVO:00000070,human construction,ENVO:01001813,construction
ENVO:00000071,fault cave,ENVO:00000067,cave
ENVO:00000072,aquaduct,ENVO:00000014,canal
ENVO:00000073,building,ENVO:00000070,human construction
ENVO:00000074,dam,ENVO:01000467,constructed barrier
ENVO:00000075,bridge,ENVO:00000010,transport feature
ENVO:00000076,mine,ENVO:00000070,human construction
ENVO:00000079,flume,ENVO:00000014,canal
ENVO:00000080,mountain range,ENVO:00000478,range of mounts
ENVO:00000081,mountain,ENVO:00000477,mount
ENVO:00000082,hill range,ENVO:00000478,range of mounts
ENVO:00000083,hill,ENVO:00000477,mount
ENVO:00000084,mountain pass,ENVO:00000191,solid astronomical body part
ENVO:00000085,alpine glacier,ENVO:00000133,glacier
ENVO:00000086,plain,ENVO:00000191,solid astronomical body part
ENVO:00000087,cliff,ENVO:00002000,slope
ENVO:00000088,sea cliff,ENVO:00000087,cliff
ENVO:00000090,coastal plain,ENVO:00000086,plain
ENVO:00000091,beach,ENVO:00000191,solid astronomical body part
ENVO:00000092,sea beach,ENVO:00000091,beach
ENVO:00000093,lacustrine beach,ENVO:00000091,beach
ENVO:00000094,volcanic feature,ENVO:01000813,astronomical body part
ENVO:00000096,caldera,ENVO:00000514,crater
ENVO:00000097,desert area,ENVO:01000752,area of barren land
ENVO:00000098,island,ENVO:01000635,planetary landmass
ENVO:00000099,artificial island,ENVO:00000098,island
ENVO:00000100,valley,ENVO:03000015,geographic basin
ENVO:00000101,delta,ENVO:00000386,river mouth
ENVO:00000103,mangrove island,ENVO:00000098,island
ENVO:00000107,heath,ENVO:01001305,vegetated area
ENVO:00000108,meadow ecosystem,ENVO:01001206,grassland ecosystem
ENVO:00000109,woodland area,ENVO:01001305,vegetated area
ENVO:00000110,lava tunnel,ENVO:00000322,volcanic cave
ENVO:00000112,area of tundra,ENVO:01001305,vegetated area
ENVO:00000115,orchard,ENVO:00000117,plantation
ENVO:00000116,vineyard,ENVO:00000117,plantation
ENVO:00000117,plantation,ENVO:00000078,farm
ENVO:00000119,planted forest,ENVO:01001243,forest ecosystem
ENVO:00000122,track,ENVO:00000064,road
ENVO:00000124,supranational geopolitical entity,ENVO:00000123,political entity
ENVO:00000125,mineral spring,ENVO:00000027,spring
ENVO:00000126,sulfur spring,ENVO:00000027,spring
ENVO:00000127,badland,ENVO:00000191,solid astronomical body part
ENVO:00000128,dry valley,ENVO:00000100,valley
ENVO:00000129,stream valley,ENVO:00000100,valley
ENVO:00000130,rocky reef,ENVO:00000012,hydrographic feature
ENVO:00000132,ice sheet,ENVO:00000133,glacier
ENVO:00000133,glacier,ENVO:01001691,mass of compounded environmental materials
ENVO:00000134,permafrost,ENVO:00010483,environmental material
ENVO:00000135,buffer zone,ENVO:00000004,administrative region
ENVO:00000136,demilitarized zone,ENVO:00000135,buffer zone
ENVO:00000137,coastal inlet,ENVO:00000475,inlet
ENVO:00000138,cove,ENVO:00000137,coastal inlet
ENVO:00000139,irrigation ditch,ENVO:00000037,ditch
ENVO:00000140,drainage ditch,ENVO:00000037,ditch
ENVO:00000145,ice cap,ENVO:01001547,land ice mass
ENVO:00000146,snow field,ENVO:01000352,field
ENVO:00000147,ocean current,ENVO:01000067,marine current
ENVO:00000148,riffle,ENVO:01001784,compound astronomical body part
ENVO:00000149,artificial reef,ENVO:00000130,rocky reef
ENVO:00000150,coral reef,ENVO:01000143,marine reef
ENVO:00000151,sabkha,ENVO:00000196,alkaline flat
ENVO:00000152,anabranch,ENVO:00000023,stream
ENVO:00000153,headwater,ENVO:01000813,astronomical body part
ENVO:00000154,flood meadow ecosystem,ENVO:01000449,wet meadow ecosystem
ENVO:00000155,cirque,ENVO:00000248,glacial valley
ENVO:00000156,desert oasis,ENVO:01001304,oasis
ENVO:00000157,peat cut,ENVO:01000813,astronomical body part
ENVO:00000158,causeway,ENVO:00000010,transport feature
ENVO:00000165,asphalt lake,ENVO:00000020,lake
ENVO:00000166,atoll,ENVO:00000222,oceanic island
ENVO:00000167,bar,ENVO:00000012,hydrographic feature
ENVO:00000168,blowhole,ENVO:00000012,hydrographic feature
ENVO:00000169,canyon,ENVO:00000100,valley
ENVO:00000170,dune,ENVO:00000083,hill
ENVO:00000171,river valley,ENVO:00000129,stream valley
ENVO:00000172,sandy desert,ENVO:00000097,desert area
ENVO:00000173,rocky desert,ENVO:00000097,desert area
ENVO:00000174,isthmus,ENVO:01000813,astronomical body part
ENVO:00000175,karst,ENVO:00000191,solid astronomical body part
ENVO:00000177,moraine,ENVO:01000813,astronomical body part
ENVO:00000178,levee,ENVO:00000012,hydrographic feature
ENVO:00000179,mesa,ENVO:01001491,flattened elevation
ENVO:00000180,mound,ENVO:00000477,mount
ENVO:00000181,nunatak,ENVO:00000480,peak
ENVO:00000182,plateau,ENVO:01001491,flattened elevation
ENVO:00000183,stony desert,ENVO:00000097,desert area
ENVO:00000184,hanging valley,ENVO:00000248,glacial valley
ENVO:00000185,raised mire,ENVO:00000044,peatland
ENVO:00000186,string mire,ENVO:00000044,peatland
ENVO:00000187,tundra mire,ENVO:00000044,peatland
ENVO:00000188,palsa mire,ENVO:00000044,peatland
ENVO:00000189,peat swamp,ENVO:00000044,peatland
ENVO:00000190,abyssal feature,ENVO:00000104,undersea feature
ENVO:00000192,mudflat,ENVO:00000230,coastal wetland ecosystem
ENVO:00000194,scree,ENVO:00010483,environmental material
ENVO:00000195,sinkhole,ENVO:00000309,depression
ENVO:00000196,alkaline flat,ENVO:01000296,dry lake bed
ENVO:00000197,endorheic lake,ENVO:00000020,lake
ENVO:00000198,ice-covered lake,ENVO:00000488,glacial lake
ENVO:00000199,meromictic lake,ENVO:00000020,lake
ENVO:00000200,periglacial lake,ENVO:00000488,glacial lake
ENVO:00000201,fjord lake,ENVO:00000020,lake
ENVO:00000202,oxbow lake,ENVO:00000020,lake
ENVO:00000203,rift lake,ENVO:01001092,tectonic lake
ENVO:00000204,ephemeral spring,ENVO:00000027,spring
ENVO:00000205,permanent spring,ENVO:00000027,spring
ENVO:00000206,marine neritic zone,ENVO:01000295,marine layer
ENVO:00000207,oceanic zone,ENVO:01000295,marine layer
ENVO:00000208,marine pelagic zone,ENVO:01000295,marine layer
ENVO:00000209,marine photic zone,ENVO:01000295,marine layer
ENVO:00000210,marine aphotic zone,ENVO:01000295,marine layer
ENVO:00000211,marine bathypelagic zone,ENVO:00000210,marine aphotic zone
ENVO:00000212,marine abyssalpelagic zone,ENVO:00000210,marine aphotic zone
ENVO:00000213,marine mesopelagic zone,ENVO:00000210,marine aphotic zone
ENVO:00000214,hadalpelagic zone,ENVO:00000210,marine aphotic zone
ENVO:00000215,hydrothermal vent,ENVO:00000027,spring
ENVO:00000216,fumarole,ENVO:01000667,geological fracture
ENVO:00000217,solfatara,ENVO:00000216,fumarole
ENVO:00000218,black smoker,ENVO:01000122,marine hydrothermal vent
ENVO:00000219,landlocked sea,ENVO:00000016,sea
ENVO:00000220,archipelago,ENVO:01001784,compound astronomical body part
ENVO:00000221,continental island,ENVO:00000098,island
ENVO:00000222,oceanic island,ENVO:00000098,island
ENVO:00000223,continental shelf,ENVO:00002000,slope
ENVO:00000224,slightly stratified estuary,ENVO:00000045,estuary
ENVO:00000225,highly stratified estuary,ENVO:00000045,estuary
ENVO:00000226,saline wedge estuary,ENVO:00000045,estuary
ENVO:00000228,inverse estuary,ENVO:00000045,estuary
ENVO:00000229,intermittent estuary,ENVO:00000045,estuary
ENVO:00000230,coastal wetland ecosystem,ENVO:01001209,wetland ecosystem
ENVO:00000231,moor,ENVO:00000243,freshwater wetland ecosystem
ENVO:00000232,fen,ENVO:00000044,peatland
ENVO:00000233,swamp ecosystem,ENVO:01001209,wetland ecosystem
ENVO:00000234,bayou,ENVO:00000023,stream
ENVO:00000235,carr,ENVO:00000232,fen
ENVO:00000236,dambo,ENVO:00000243,freshwater wetland ecosystem
ENVO:00000237,hydromorphic/phreatic dambo,ENVO:00000236,dambo
ENVO:00000238,fluvial dambo,ENVO:00000236,dambo
ENVO:00000239,pocasin,ENVO:00000243,freshwater wetland ecosystem
ENVO:00000240,saline wetland,ENVO:01001209,wetland ecosystem
ENVO:00000241,tidal mudflat,ENVO:00000192,mudflat
ENVO:00000242,lacustrine mudflat,ENVO:00000192,mudflat
ENVO:00000243,freshwater wetland ecosystem,ENVO:01001209,wetland ecosystem
ENVO:00000244,abyssal plain,ENVO:00000086,plain
ENVO:00000245,maar,ENVO:00000514,crater
ENVO:00000246,volcanic crater,ENVO:00000514,crater
ENVO:00000247,volcano,ENVO:01000667,geological fracture
ENVO:00000248,glacial valley,ENVO:00000100,valley
ENVO:00000249,lateral moraine,ENVO:00000177,moraine
ENVO:00000250,medial moraine,ENVO:00000177,moraine
ENVO:00000251,ground moraine,ENVO:00000177,moraine
ENVO:00000252,terminal moraine,ENVO:00000177,moraine
ENVO:00000253,scroll plane,ENVO:00000086,plain
ENVO:00000254,till plan,ENVO:00000086,plain
ENVO:00000255,flood plain,ENVO:00000086,plain
ENVO:00000256,floodway,ENVO:00000309,depression
ENVO:00000257,flood fringe,ENVO:01000352,field
ENVO:00000258,alluvial plain,ENVO:00000086,plain
ENVO:00000259,lacustrine plain,ENVO:00000086,plain
ENVO:00000260,prairie,ENVO:00000106,grassland area
ENVO:00000261,savanna,ENVO:00000106,grassland area
ENVO:00000262,steppe,ENVO:00000106,grassland area
ENVO:00000263,fissure cave,ENVO:00000067,cave
ENVO:00000264,seamount,ENVO:00000081,mountain
ENVO:00000265,guyot,ENVO:00000264,seamount
ENVO:00000267,submarine canyon,ENVO:00000169,canyon
ENVO:00000268,lake bed,ENVO:00000501,submerged bed
ENVO:00000269,land-tied island,ENVO:00000221,continental island
ENVO:00000270,beaver pond,ENVO:00000033,pond
ENVO:00000271,chott,ENVO:00000196,alkaline flat
ENVO:00000272,confluence,ENVO:00000012,hydrographic feature
ENVO:00000273,continental slope,ENVO:00002000,slope
ENVO:00000274,continental rise,ENVO:00002000,slope
ENVO:00000275,ocean trench,ENVO:01000649,trench
ENVO:00000276,drumlin,ENVO:00000083,hill
ENVO:00000277,dry lake,ENVO:00000309,depression
ENVO:00000278,dry stream,ENVO:00000395,channel of a watercourse
ENVO:00000279,saline pan,ENVO:01000296,dry lake bed
ENVO:00000280,escarpment,ENVO:00002000,slope
ENVO:00000281,fault escarpment,ENVO:00000280,escarpment
ENVO:00000282,esker,ENVO:00000283,ridge
ENVO:00000283,ridge,ENVO:00000176,elevation
ENVO:00000284,quarry,ENVO:02000110,open-pit mine
ENVO:00000285,quicksand bed,ENVO:00010504,surface layer
ENVO:00000286,polder,ENVO:00000012,hydrographic feature
ENVO:00000287,butte,ENVO:01001491,flattened elevation
ENVO:00000289,horst,ENVO:00000176,elevation
ENVO:00000290,graben,ENVO:00000309,depression
ENVO:00000291,drainage basin,ENVO:00000309,depression
ENVO:00000292,watershed,ENVO:00000191,solid astronomical body part
ENVO:00000293,continental divide,ENVO:00000292,watershed
ENVO:00000294,fish farm,ENVO:00000077,agricultural ecosystem
ENVO:00000295,fish hatchery,ENVO:01001873,hatchery
ENVO:00000296,rice field,ENVO:00000117,plantation
ENVO:00000297,paddy field,ENVO:00000114,agricultural field
ENVO:00000298,marine iceberg,ENVO:01001345,floating ice mass
ENVO:00000299,ice field,ENVO:03000110,cryoform
ENVO:00000300,scrubland area,ENVO:01001305,vegetated area
ENVO:00000301,chaparral area,ENVO:00000300,scrubland area
ENVO:00000302,rift valley,ENVO:00000100,valley
ENVO:00000303,sea coast,ENVO:01000687,coast
ENVO:00000304,shore,ENVO:00000191,solid astronomical body part
ENVO:00000305,peninsula,ENVO:01001781,part of a landmass
ENVO:00000306,spit,ENVO:00000167,bar
ENVO:00000307,icefall,ENVO:01001547,land ice mass
ENVO:00000308,dune slack,ENVO:00000100,valley
ENVO:00000310,meteor impact crater,ENVO:01001071,impact crater
ENVO:00000311,kettle,ENVO:00000309,depression
ENVO:00000312,sandur,ENVO:00000086,plain
ENVO:00000313,blowout,ENVO:00000309,depression
ENVO:00000314,alluvial fan,ENVO:00000012,hydrographic feature
ENVO:00000315,bajada,ENVO:00000314,alluvial fan
ENVO:00000316,intertidal zone,ENVO:01001201,marine environmental zone
ENVO:00000317,tidal pool,ENVO:01000617,lentic water body
ENVO:00000318,high tide zone,ENVO:01001201,marine environmental zone
ENVO:00000319,low tide zone,ENVO:01001201,marine environmental zone
ENVO:00000320,crevasse,ENVO:01000667,geological fracture
ENVO:00000321,joint-plane cave,ENVO:00000067,cave
ENVO:00000322,volcanic cave,ENVO:01000361,primary cave
ENVO:00000323,live cave,ENVO:00000067,cave
ENVO:00000324,outflow cave,ENVO:00000067,cave
ENVO:00000325,polje,ENVO:00000309,depression
ENVO:00000326,sea cave,ENVO:00000067,cave
ENVO:00000327,speleothem,ENVO:01000255,mineral deposit
ENVO:00000328,vadose zone,ENVO:01000408,environmental zone
ENVO:00000329,phreatic zone,ENVO:01001784,compound astronomical body part
ENVO:00000330,stalagmite,ENVO:00000327,speleothem
ENVO:00000331,stalactite,ENVO:00000327,speleothem
ENVO:00000332,doline,ENVO:00000309,depression
ENVO:00000333,subjacent karst,ENVO:00000175,karst
ENVO:00000334,syngenetic karst,ENVO:00000175,karst
ENVO:00000335,polygonal karst,ENVO:00000175,karst
ENVO:00000336,doline karst,ENVO:00000175,karst
ENVO:00000338,vomit material,ENVO:02000019,bodily fluid material
ENVO:00000339,piece of rock,ENVO:01001687,mass of solid material
ENVO:00000341,piece of gravel,ENVO:00000339,piece of rock
ENVO:00000342,ice cap dome,ENVO:00000176,elevation
ENVO:00000343,particle of silt,ENVO:01001687,mass of solid material
ENVO:00000349,terrarium,ENVO:00010622,vivarium
